Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
Common Cold, continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Common Cold, continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Diabetes, fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Diabetes, fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Diabetes, fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Diabetes, fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","",""
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,"","","","","","","",""
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Diabetes, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,"","","","","","","",""
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus,"","","","","","","","","","","","",""
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool,"","","","","","","","","","","","",""
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,"","","","","","","","","","","",""
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus,"","","","","","","","","","","","",""
Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus,"","","","","","","","","","","","",""
Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,"","","","","","","","","","","","",""
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,"","","","","","","","","","","","",""
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,"","","","","","","","","","","","",""
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,"","","","","","","","","","","","",""
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,"","","","","","","","","","","",""
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,"","","","","","","","","","","","",""
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"","","","","","","","","","","","",""
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,"","","","","","","","","","","","","",""
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,"","","","","","","","","","","","","",""
Fungal infection,itching, skin_rash, dischromic _patches,"","","","","","","","","","","","","",""
Fungal infection,itching, skin_rash, nodal_skin_eruptions,"","","","","","","","","","","","","",""
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,"","","","","","","","","","","","",""
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,"","","","","","","","","","","","","",""
Gastroenteritis, vomiting, dehydration, diarrhoea,"","","","","","","","","","","","","",""
Gastroenteritis, vomiting, sunken_eyes, dehydration,"","","","","","","","","","","","","",""
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"","","","","","","","","","","","",""
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,"","","","","","","","","","","","","",""
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,"","","","","","","","","","","",""
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,"","","","","","","","","","","",""
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,"","","","","","","","","","","",""
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,"","","","","","","","","","","",""
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,"","","","","","","","","","",""
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,"","","","","","","","","","","",""
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,"","","","","","","","","","","",""
Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","",""
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hepatitis B,itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,"","","","","",""
Hypertension, chest_pain, dizziness, loss_of_balance, lack_of_concentration,"","","","","","","","","","","","",""
Hypertension, headache, chest_pain, dizziness, lack_of_concentration,"","","","","","","","","","","","",""
Hypertension, headache, chest_pain, dizziness, loss_of_balance,"","","","","","","","","","","","",""
Hypertension, headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,"","","","","","","","","","","",""
Hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,"","","","","","","","","","","","",""
Hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,"","","","","","","","","","","","",""
Hypoglycemia, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","",""
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Hypoglycemia, vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,"","","","","",""
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,"","","","","","","","","",""
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,"","","","","","","","","",""
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,"","","","","","","","","",""
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,"","","","","","","","",""
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,"","","","","","","","","",""
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,"","","","","","","","","",""
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,"","","","","","","","","",""
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,"","","","","","","","","",""
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,"","","","","","","","","","","",""
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,"","","","","","","","","","","",""
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,"","","","","","","","","","","",""
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,"","","","","","","","","","","",""
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,"","","","","","","","","","",""
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,"","","","","","","","","","","",""
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,"","","","","","","","","","","",""
Pneumonia, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","",""
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Pneumonia, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,"","","","","","",""
Tuberculosis, chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,""
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Tuberculosis, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,"",""
Typhoid, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,"","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain,"","","","","","",""
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,"","","","","","",""
Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,"","","","","","","","","","","","","",""
Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,"","","","","","","","","","","","","",""
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,"","","","","","","","","","","","","",""
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,"","","","","","","","","","","","",""
Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,"","","","","","","","","","","","","",""
Varicose veins, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"","","","","","","","","","",""
Varicose veins, fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"","","","","","","","","","",""
Varicose veins, fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf,"","","","","","","","","","",""
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf,"","","","","","","","","","",""
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels,"","","","","","","","","","",""
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"","","","","","","","","",""
Varicose veins, fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"","","","","","","","","","",""
Varicose veins, fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"","","","","","","","","","",""
